DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
03-Feb-26,EQ,"1,727.20","1,728.00","1,653.00","1,629.40","1,654.70","1,656.00","1,673.77","1,924.00","1,307.00","88,05,868","14,73,90,39,549.50","2,13,721"
02-Feb-26,EQ,"1,662.00","1,662.00","1,618.00","1,654.50","1,627.00","1,629.40","1,631.44","1,924.00","1,307.00","67,84,887","11,06,91,32,917.00","2,21,651"
01-Feb-26,EQ,"1,630.00","1,677.30","1,604.00","1,641.00","1,642.00","1,654.50","1,643.30","1,924.00","1,307.00","62,41,188","10,25,61,30,696.20","1,56,229"
30-Jan-26,EQ,"1,655.00","1,655.00","1,618.10","1,659.50","1,642.70","1,641.00","1,634.50","1,924.00","1,307.00","92,07,926","15,05,03,41,851.30","1,67,212"
29-Jan-26,EQ,"1,658.00","1,666.50","1,642.10","1,666.50","1,661.00","1,659.50","1,655.78","1,924.00","1,307.00","47,49,582","7,86,42,68,075.70","1,59,472"
28-Jan-26,EQ,"1,680.00","1,688.80","1,650.00","1,682.70","1,666.00","1,666.50","1,662.80","1,924.00","1,307.00","85,88,664","14,28,12,57,133.20","1,80,512"
27-Jan-26,EQ,"1,685.80","1,689.40","1,661.10","1,670.80","1,687.40","1,682.70","1,679.04","1,924.00","1,307.00","1,06,73,087","17,92,05,91,239.00","2,23,960"
23-Jan-26,EQ,"1,667.20","1,675.70","1,662.20","1,663.50","1,672.00","1,670.80","1,668.83","1,924.00","1,307.00","58,69,137","9,79,45,71,597.00","1,52,342"
22-Jan-26,EQ,"1,666.00","1,671.20","1,653.80","1,654.40","1,662.80","1,663.50","1,661.08","1,924.00","1,307.00","62,28,892","10,34,66,90,586.50","1,84,046"
21-Jan-26,EQ,"1,651.00","1,657.00","1,631.20","1,658.90","1,655.10","1,654.40","1,648.33","1,924.00","1,307.00","62,24,582","10,26,01,52,588.00","1,95,264"
20-Jan-26,EQ,"1,673.00","1,680.20","1,652.90","1,681.20","1,654.40","1,658.90","1,664.20","1,924.00","1,307.00","64,06,503","10,66,17,23,561.20","1,90,297"
19-Jan-26,EQ,"1,685.00","1,685.00","1,666.50","1,689.80","1,679.90","1,681.20","1,678.98","1,924.00","1,307.00","51,04,958","8,57,11,26,563.30","1,44,195"
16-Jan-26,EQ,"1,663.70","1,694.00","1,653.40","1,599.80","1,689.10","1,689.80","1,679.42","1,982.80","1,307.00","1,93,35,957","32,47,32,41,076.50","4,04,792"
14-Jan-26,EQ,"1,588.00","1,617.00","1,583.10","1,599.00","1,608.90","1,599.80","1,598.47","1,982.80","1,307.00","75,57,157","12,07,98,66,717.30","1,57,399"
13-Jan-26,EQ,"1,618.00","1,618.00","1,586.40","1,595.90","1,600.00","1,599.00","1,595.24","1,982.80","1,307.00","80,80,618","12,89,05,13,857.40","1,76,411"
12-Jan-26,EQ,"1,610.10","1,613.30","1,592.60","1,614.10","1,597.60","1,595.90","1,599.67","1,982.80","1,307.00","69,85,362","11,17,42,99,825.40","2,10,446"
09-Jan-26,EQ,"1,610.00","1,631.30","1,607.00","1,613.30","1,616.90","1,614.10","1,616.35","1,982.80","1,307.00","68,16,681","11,01,81,32,001.70","1,31,498"
08-Jan-26,EQ,"1,638.90","1,644.30","1,608.60","1,639.00","1,612.60","1,613.30","1,619.65","1,982.80","1,307.00","39,42,131","6,38,48,66,730.40","1,30,780"
07-Jan-26,EQ,"1,615.00","1,642.00","1,615.00","1,612.20","1,640.00","1,639.00","1,633.23","1,982.80","1,307.00","45,08,079","7,36,27,15,155.00","1,29,457"
06-Jan-26,EQ,"1,600.10","1,619.90","1,599.00","1,606.40","1,605.00","1,612.20","1,612.25","1,982.80","1,307.00","44,66,729","7,20,15,00,282.70","1,32,512"
05-Jan-26,EQ,"1,637.00","1,637.00","1,583.10","1,640.40","1,604.10","1,606.40","1,602.81","1,982.80","1,307.00","59,17,885","9,48,52,45,520.40","2,20,171"
02-Jan-26,EQ,"1,635.90","1,643.50","1,627.50","1,629.80","1,642.10","1,640.40","1,638.65","1,982.80","1,307.00","25,24,526","4,13,68,08,012.60","86,514"
01-Jan-26,EQ,"1,615.40","1,639.60","1,614.10","1,615.40","1,629.50","1,629.80","1,630.77","1,982.80","1,307.00","36,58,165","5,96,56,15,873.20","96,560"
31-Dec-25,EQ,"1,621.00","1,628.60","1,609.20","1,621.60","1,617.90","1,615.40","1,616.58","1,982.80","1,307.00","65,38,656","10,57,02,70,246.20","1,02,413"
30-Dec-25,EQ,"1,647.00","1,647.90","1,616.80","1,644.70","1,623.50","1,621.60","1,625.72","1,982.80","1,307.00","93,95,937","15,27,51,31,268.30","1,50,131"
29-Dec-25,EQ,"1,658.00","1,673.10","1,637.10","1,656.10","1,645.00","1,644.70","1,647.30","1,982.80","1,307.00","40,62,817","6,69,26,75,971.00","1,03,013"
26-Dec-25,EQ,"1,663.40","1,668.80","1,651.70","1,663.40","1,657.00","1,656.10","1,657.89","1,982.80","1,307.00","20,06,491","3,32,65,44,399.90","97,220"
24-Dec-25,EQ,"1,661.00","1,667.60","1,652.50","1,668.30","1,667.00","1,663.40","1,660.54","1,982.80","1,307.00","42,71,167","7,09,24,30,849.40","1,42,602"
23-Dec-25,EQ,"1,679.00","1,679.00","1,656.40","1,689.60","1,664.60","1,668.30","1,666.35","1,982.80","1,307.00","65,93,060","10,98,63,62,727.70","2,28,310"
22-Dec-25,EQ,"1,664.00","1,693.20","1,664.00","1,638.70","1,686.00","1,689.60","1,682.86","1,982.80","1,307.00","2,30,98,923","38,87,22,18,965.50","4,12,335"
19-Dec-25,EQ,"1,650.00","1,654.90","1,629.80","1,626.80","1,638.00","1,638.70","1,640.02","1,999.60","1,307.00","1,31,49,023","21,56,46,29,614.10","2,01,281"
18-Dec-25,EQ,"1,610.50","1,630.00","1,606.70","1,602.00","1,627.10","1,626.80","1,623.68","1,999.60","1,307.00","65,77,293","10,67,94,09,219.40","2,88,341"
17-Dec-25,EQ,"1,587.20","1,606.90","1,586.00","1,592.90","1,602.00","1,602.00","1,600.21","1,999.60","1,307.00","48,17,628","7,70,92,07,454.90","1,55,044"
16-Dec-25,EQ,"1,600.00","1,603.00","1,585.60","1,606.80","1,592.60","1,592.90","1,591.77","1,999.60","1,307.00","54,99,258","8,75,35,33,458.70","2,20,591"
15-Dec-25,EQ,"1,585.00","1,610.80","1,585.00","1,598.20","1,607.00","1,606.80","1,603.88","1,999.60","1,307.00","41,90,558","6,72,11,34,417.80","1,63,737"
